127.0.0.1, 2017-01-31 18:48:23, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.036000
127.0.0.1, 2017-01-31 18:48:23, GET, /admin/default/index, HTTP/1.1, 200, 0.076000
127.0.0.1, 2017-01-31 18:48:23, GET, /admin/default/index, HTTP/1.1, 200, 0.068000
127.0.0.1, 2017-01-31 18:48:23, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.038000
127.0.0.1, 2017-01-31 18:48:24, GET, /myapp/appadmin/hooks, HTTP/1.1, 303, 0.072000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/index.load, HTTP/1.1, 404, 0.032000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/index, HTTP/1.1, 200, 0.044000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.015000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/todolist.load, HTTP/1.1, 303, 0.016000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/index, HTTP/1.1, 200, 0.040000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/index, HTTP/1.1, 200, 0.092000
127.0.0.1, 2017-01-31 18:48:24, GET, /admin/default/files_menu, HTTP/1.1, 303, 0.056000
127.0.0.1, 2017-01-31 18:48:24, GET, /myapp/appadmin/hooks, HTTP/1.1, 303, 0.052000
127.0.0.1, 2017-01-31 18:48:25, GET, /admin/default/index.load, HTTP/1.1, 404, 0.048000
127.0.0.1, 2017-01-31 18:48:25, GET, /admin/default/editor_sessions, HTTP/1.1, 303, 0.059000
127.0.0.1, 2017-01-31 18:48:25, GET, /admin/default/index, HTTP/1.1, 200, 0.064000
